image_id,text,x1,y1,x2,y2,candidate_type
X51005433514,UNIHAKKA INTERNATIONAL SDN BHD,303,296,594,314,REVIEW
X51005433514,03 MAR 2018 18:22,395,314,504,328,DATE
X51005433514,(867388-U),415,332,483,349,REVIEW
X51005433514,12,324,350,575,365,REVIEW
X51005433514,TAMPOI,352,368,543,384,REVIEW
X51005433514,TAX INVOICE,406,387,489,399,REVIEW
X51005433514,INVOICE # : OR18030302170430,288,402,468,416,PHONE
X51005433514,ITEM,288,427,315,440,REVIEW
X51005433514,QTY,389,429,413,444,REVIEW
X51005433514,TOTAL,577,430,609,444,REVIEW
X51005433514,SR 100100000035- 1 MEAT + 3 VEGE,288,448,496,465,PHONE
X51005433514,$7.10,287,467,321,481,REVIEW
X51005433514,1,389,469,398,482,REVIEW
X51005433514,$7.10,573,472,607,485,REVIEW
X51005433514,SR 100100000015- VEGETABLE,288,495,458,511,PHONE
X51005433514,$1.10,288,515,320,529,REVIEW
X51005433514,1,389,518,397,529,REVIEW
X51005433514,$1.10,571,519,606,533,REVIEW
X51005433514,TOTAL AMOUNT: $8.20,489,549,605,563,REVIEW
X51005433514,GST @6%: $0.46,504,567,605,583,REVIEW
X51005433514,NETT TOTAL: $8.20,510,585,605,599,REVIEW
X51005433514,PAYMENT MODE,285,609,373,624,REVIEW
X51005433514,AMOUNT,556,612,605,624,REVIEW
X51005433514,CASH,285,629,324,642,REVIEW
X51005433514,$8.20,570,631,604,645,REVIEW
X51005433514,CHANGE,285,647,331,663,REVIEW
X51005433514,$0.00,568,651,603,664,REVIEW
X51005433514,GST SUMMARY,284,692,358,706,REVIEW
X51005433514,AMOUNT($),447,693,499,707,REVIEW
X51005433514,TAX($),570,695,604,709,REVIEW
X51005433514,SR = GST @6%,283,712,360,726,REVIEW
X51005433514,7.74,477,714,500,725,REVIEW
X51005433514,0.46,580,716,602,726,REVIEW
X51005433514,GST REG #000656195584,364,739,518,753,PHONE
X51005433514,BAR WANG RICE@PERMAS JAYA,338,757,544,773,REVIEW
X51005433514,(PRICE INCLUSIVE OF GST),371,775,510,792,REVIEW
X51005433514,THANK YOU & COME AGAIN!,363,793,516,811,REVIEW
X51005433514,LIKE AND FOLLOW US ON FACEBOOK!,346,812,534,827,REVIEW
X51005433514,FACEBOOK.COM/BARWANGRICE,357,830,522,847,REVIEW
X51005442361,MORGANFIELD'S R,371,278,718,347,REVIEW
X51005442361,HORNG OF SDCKY BONES,525,336,683,356,REVIEW
X51005442361,TIME LESS KITCHENETTE SDN BHD,437,386,652,405,REVIEW
X51005442361,COMPANY NO : 1174703-K,460,407,630,425,REVIEW
X51005442361,GST REG NO : 0000 6771 0976,442,425,650,443,PHONE
X51005442361,LOT 50,373,442,718,464,REVIEW
X51005442361,PAHANG,435,463,658,483,REVIEW
X51005442361,GUEST CHECK,483,503,610,525,REVIEW
X51005442361,INVOICE NO: 000039121,450,533,642,553,PHONE
X51005442361,DATE: 2018-03-23,363,565,487,582,PHONE
X51005442361,CASHIER : MIZAN GENTING SERVER :,363,584,608,602,REVIEW
X51005442361,OPEN: 18:43:34,364,604,473,623,REVIEW
X51005442361,TABLE: 25,548,601,616,617,REVIEW
X51005442361,PAX: 6,363,624,411,640,REVIEW
X51005442361,1,365,663,371,678,REVIEW
X51005442361,RIBS PLATTER,400,661,492,676,REVIEW
X51005442361,SR,660,657,675,672,REVIEW
X51005442361,259.90,685,656,732,670,REVIEW
X51005442361,1,364,681,373,696,REVIEW
X51005442361,NAUGHTY SPARE RIB - FULL,401,678,583,697,REVIEW
X51005442361,SR,660,676,675,690,REVIEW
X51005442361,106.90,686,675,731,689,REVIEW
